Clone_From_Item_Id,Clone_To_Event_Id,Name,Capacity,Price
674c5b7f6c6d1f24f34c63c2,674ea7f9bc0b74ee40b5b885,Hospitality Box 1,25,1099
674c5bbddd2d87833f99f0cb,674ea7f9bc0b74ee40b5b885,Hospitality Box 2,25,1099
674c5bf1301cc3b8eda292b4,674ea7f9bc0b74ee40b5b885,Hospitality Box 3,25,1099
674c5c3bd4342b22e972ce82,674ea7f9bc0b74ee40b5b885,Hospitality Box 4,25,1099
674c5c7cb4cb83d228041043,674ea7f9bc0b74ee40b5b885,Hospitality Box 5,23,1099
674c5cbebfded72f453fc39b,674ea7f9bc0b74ee40b5b885,Hospitality Box 6,27,1099
674c5d0a6aadd989947e3718,674ea7f9bc0b74ee40b5b885,Hospitality Box 7,27,1999
674c5d5073d73d8ace891ed5,674ea7f9bc0b74ee40b5b885,Hospitality Box 8,27,1099
674c5d9c76bebe7a5e6b73ba,674ea7f9bc0b74ee40b5b885,Hospitality Box 9,0,1099
674c5e32d4342b22e9731337,674ea7f9bc0b74ee40b5b885,Hospitality Box 10,0,1099
674c5eaa581141a6b568b208,674ea7f9bc0b74ee40b5b885,Hospitality Box 11,0,1099
674c5ed6a6c8f284457a0159,674ea7f9bc0b74ee40b5b885,Hospitality Box 12,0,1099
674c5f2369329bb7893b541c,674ea7f9bc0b74ee40b5b885,Hospitality Box 13,0,1099
674c5f5a1956e870dbf93463,674ea7f9bc0b74ee40b5b885,Hospitality Box 14,27,1099
674c5fa3bfded72f4540122c,674ea7f9bc0b74ee40b5b885,Hospitality Box 15,21,1099
674c5ffc79a4c8f8f4812044,674ea7f9bc0b74ee40b5b885,Hospitality Box 16,23,1999
674c6035b4cb83d2280480b3,674ea7f9bc0b74ee40b5b885,Hospitality Box 17,25,1999
674c606dd4342b22e9734e05,674ea7f9bc0b74ee40b5b885,Hospitality Box 18,25,1099
674c60a6a8ce78ec9da93640,674ea7f9bc0b74ee40b5b885,Hospitality Box 19,25,1099
674c60dacad15f1f20f8effa,674ea7f9bc0b74ee40b5b885,Hospitality Box 20,25,1099
674c61b1f62a1d203d79d9a2,674ea7f9bc0b74ee40b5b885,Corporate Box 1,10,899
674c61dfb4cb83d22804bec0,674ea7f9bc0b74ee40b5b885,Corporate Box 2,10,899
674c6213dd2d87833f9aa0db,674ea7f9bc0b74ee40b5b885,Corporate Box 3,10,899
674c625341465469081e7262,674ea7f9bc0b74ee40b5b885,Corporate Box 4,10,899
674c62a25daa3baffa1a99f8,674ea7f9bc0b74ee40b5b885,Corporate Box 5,10,899
674c62d16c82cc2f62bcd54d,674ea7f9bc0b74ee40b5b885,Corporate Box 6,10,899
674c62fa0fea692d9117b631,674ea7f9bc0b74ee40b5b885,Corporate Box 7,10,899
674c63392d24142817a65a3b,674ea7f9bc0b74ee40b5b885,Corporate Box 8,10,899
674c6372017ab4995d314fe8,674ea7f9bc0b74ee40b5b885,Corporate Box 9,10,899
674c63994f310f1fd6587816,674ea7f9bc0b74ee40b5b885,Corporate Box 10,10,899
674c63c8bfded72f4540b508,674ea7f9bc0b74ee40b5b885,Corporate Box 11,10,899
674c63fe2e9754cc928a72db,674ea7f9bc0b74ee40b5b885,Corporate Box 12,10,899
674c642a9f992f295e11f511,674ea7f9bc0b74ee40b5b885,Corporate Box 13,10,899
674c6460134ae1014a4c9c44,674ea7f9bc0b74ee40b5b885,Corporate Box 14,10,899
674c6493cad15f1f20f96e9c,674ea7f9bc0b74ee40b5b885,Corporate Box 15,10,899
674c64cccad15f1f20f96fc0,674ea7f9bc0b74ee40b5b885,Corporate Box 16,10,899
674c68b4b4cb83d22805c89c,674ea7f9bc0b74ee40b5b885,Corporate Box 17,10,899
674c68ddb4cb83d22805c9e5,674ea7f9bc0b74ee40b5b885,Corporate Box 18,10,899
674c690f656cb0b3fe07b547,674ea7f9bc0b74ee40b5b885,Corporate Box 19,10,899
674c6943a6c8f284457b43be,674ea7f9bc0b74ee40b5b885,Corporate Box 20,10,899
674c69791696d75a58385694,674ea7f9bc0b74ee40b5b885,Corporate Box 21,10,899
674c69a59e21652b01a7087a,674ea7f9bc0b74ee40b5b885,Corporate Box 22,10,899
674c69cc301cc3b8eda490bc,674ea7f9bc0b74ee40b5b885,Corporate Box 23,10,899
674c69f8301cc3b8eda49250,674ea7f9bc0b74ee40b5b885,Corporate Box 24,10,899
674c6a21301cc3b8eda493ff,674ea7f9bc0b74ee40b5b885,Corporate Box 25,10,899
674c6a4cbca069277d0d3dba,674ea7f9bc0b74ee40b5b885,Corporate Box 26,10,899
674c6a7aa6c8f284457b5fa3,674ea7f9bc0b74ee40b5b885,Corporate Box 27,10,899
674c6aa4a8ce78ec9daab904,674ea7f9bc0b74ee40b5b885,Corporate Box 28,10,899
674c6accdd2d87833f9c18e0,674ea7f9bc0b74ee40b5b885,Corporate Box 29,10,899
674c6af56aadd989947fd604,674ea7f9bc0b74ee40b5b885,Corporate Box 30,10,899
674c6b296aadd989947fdadb,674ea7f9bc0b74ee40b5b885,Corporate Box 31,10,899
674c6b5e301cc3b8eda4b09f,674ea7f9bc0b74ee40b5b885,Corporate Box 32,10,899
674c6b9d3ba25897d573c2a6,674ea7f9bc0b74ee40b5b885,Corporate Box 33,10,899
674c6bd1b4cb83d228061ec8,674ea7f9bc0b74ee40b5b885,Corporate Box 34,10,899
674c6bfdb4cb83d2280621ec,674ea7f9bc0b74ee40b5b885,Corporate Box 35,10,899
674c6c23b4cb83d2280623e7,674ea7f9bc0b74ee40b5b885,Corporate Box 36,10,899
674c6c4abfded72f4541c8c9,674ea7f9bc0b74ee40b5b885,Corporate Box 37,10,899
674c6c719e21652b01a7535a,674ea7f9bc0b74ee40b5b885,Corporate Box 38,10,899
674c6ca66aadd989948014ef,674ea7f9bc0b74ee40b5b885,Corporate Box 39,10,899
674c6cd3b4cb83d228063218,674ea7f9bc0b74ee40b5b885,Corporate Box 40,10,899
674c6cfc9e21652b01a76748,674ea7f9bc0b74ee40b5b885,Corporate Box 41,10,899
674c6d20b4cb83d228063a75,674ea7f9bc0b74ee40b5b885,Corporate Box 42,10,899
674c6d4fb4cb83d228063cf7,674ea7f9bc0b74ee40b5b885,Corporate Box 43,10,899
674c6d77bca069277d0d9317,674ea7f9bc0b74ee40b5b885,Corporate Box 44,10,899
674c6da1839bf064faedea04,674ea7f9bc0b74ee40b5b885,Corporate Box 45,10,899
674c6e35301cc3b8eda507b4,674ea7f9bc0b74ee40b5b885,Corporate Box 46,10,899
674c6ea6b4cb83d22806682a,674ea7f9bc0b74ee40b5b885,Corporate Box 47,10,899
674c6ed4dd2d87833f9d3836,674ea7f9bc0b74ee40b5b885,Corporate Box 48,10,899
